#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
00001A;010040;AMBERIEU EN BUGEY;Bureau de Poste;;38 RUE ALEXANDRE BERARD;;;01500;AMBERIEU EN BUGEY;01004;FRANCE;45.9598;5.3582;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00002A;010050;AMBERIEU EN DOMBES BP;Bureau de Poste;;240 RUE GOMBETTE;;;01330;AMBERIEUX EN DOMBES;01005;FRANCE;45.99639;4.903345;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00008A;010210;ARS SUR FORMANS BP;Bureau de Poste;;RUE JEAN MARIE VIANNEY;;;01480;ARS SUR FORMANS;01021;FRANCE;45.992899;4.821718;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00011A;010260;BAGE LE CHATEL BP;Bureau de Poste;;RUE CONDAMNALE;;;01380;BAGE LE CHATEL;01026;FRANCE;46.307694;4.929602;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00013A;010300;BEAUREGARD AP;Agence postale communale;00174A;99 RUE HECTOR BERLIOZ;MAIRIE;;01480;BEAUREGARD;01030;FRANCE;46.002974656;4.7512038479;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00015A;010320;BELIGNEUX CAMP DE LA VALBONNE BP;Bureau de Poste;;23 RUE DE LA POSTE; CAMP MILITAIRE LA VALBONNE;;01360;BELIGNEUX;01032;FRANCE;45.8488828;5.12479312;;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00016A;010330;BELLEGARDE SUR VALSERINE PAL;Bureau de Poste;;52 B RUE DE LA REPUBLIQUE;;;01200;BELLEGARDE SUR VALSERINE;01033;FRANCE;46.107098;5.824684;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00017A;010340;BELLEY;Bureau de Poste;;1 BOULEVARD DU MAIL;;;01300;BELLEY;01034;FRANCE;45.761179;5.687556;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00022A;010460;BIZIAT AP;Agence postale communale;00046A; 40 ROUTE DE RETISSINGE;;;01290;BIZIAT;01046;FRANCE;46.216879;4.943519;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00023A;010490;LA BOISSE AP;Agence postale communale;00103A;31 PLACE MARCEL VIENOT;;;01120;LA BOISSE;01049;FRANCE;45.841808;5.032843;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
